"Equipment_ID","Facility_Code","Type","Library_ID","Model","Manufacturer","Serial_Number","Power_Source","RefrigerAnt","CFC_Free","Gross_Refr_Volume","Net_Refr_Volume","Gross_Freezer_Volume","Net_Freezer_Volume","Year","Condition","Status","No_Monitor","Dial_Thermometer","Stem_Thermometer","Fridge_Tag","No_Spare_Parts","No_Finance","No_Fuel","Need_to_Board_Off","Days_Above_8","Days_Below_2"
"R-000130","02-61","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000204","03-7","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000460","01-15","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000479","01-25","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000487","01-30","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000496","01-34","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000525","01-47","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000582","01-72","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000765","04-14","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000311","03-76","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2004,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000216","03-14","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000359","03-106","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001147","05-109","URAC","U003","DOMESTIC","BEKO",,"E",,"Yes",0,0,0,0,2008,"Working_well","In_use",,,,,,,,,,
"R-000776","04-20","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000837","04-46","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000869","04-63","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Not_working","Not_in_use",,,,,,,,,,
"R-000934","05-1","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Not_working","Not_in_use",,,,,,,,,,
"R-000996","05-31","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001009","05-36","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001015","05-38","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000772","04-19","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2004,"Working_well","In_use",,,,,,,,,,
"R-000401","03-128","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000515","01-44","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000694","01-126","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000952","05-10","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000965","05-16","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-001017","05-40","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001025","05-45","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001044","05-58","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001057","05-63","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001073","05-72","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001100","05-90","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001167","05-119","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001168","05-120","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001170","05-121","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000967","05-17","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000992","05-29","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-001006","05-35","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-001007","05-35","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-001013","05-37","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-001165","05-117","URAC","U002","PHARMACEUTICAL","UNKNOWN",,"E","R134A","Yes",0,100,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-001186","05-129","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Not_working","Not_in_use",,,,,,,,,,
"R-001218","06-4","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001279","06-45","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001357","06-83","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001412","06-112","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000366","03-111","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000367","03-111","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000942","05-4","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2004,"Not_working","Not_in_use",,,,,,,,,,
